Item,Translation,Language,Correct,Overlap
organisaasje,Organisation,Frisian,1,6.666666667
paal,Pfahl,Dutch,0,6
paard,Pferd,Dutch,0,6
parlemint,Parlament,Frisian,1,8.888888889
plads,Platz,Danish,1,6
pligt,Pflicht,Danish,1,5.714285714
politie,Polizei,Dutch,1,7.142857143
posysje,Position,Frisian,0,3.75
præst,Priester (priest),Danish,0,8.333333333
press,Presse,Swedish,1,10
pris,Preis,Danish,1,8
punt,Punkt,Frisian,1,8
ræsonnement,Darlegung (raisonnement),Danish,0,9.166666667
rechter,Richter,Dutch,1,8.571428571
regearing,Regierung,Frisian,1,6.666666667
regn,Regen,Danish,1,8
relatie,Verhältnis (relation),Dutch,1,7.5
resa,Reise,Swedish,0,6
riktning,Richtung,Swedish,1,5
rivier,Fluss,Frisian,0,8.571428571
rook,Rauch,Dutch,0,2
samenhang,Zusammenhang,Dutch,1,7.5
sammenkomst,Zusammenkunft,Danish,1,6.153846154
sång,Lied (song),Swedish,0,7.5
schip,Schiff,Dutch,1,8
sintimeter,Zentimeter,Frisian,1,8
sintrum,Zentrum,Frisian,0,7.142857143
situaasje,Situation,Frisian,1,5.555555556
skada,Schaden,Swedish,0,4.285714286
skole,Schule,Danish,0,5
skræk,Schreck,Danish,0,4.285714286
skridt,Schritt,Danish,0,5.714285714
slang,Schlange,Frisian,0,6.25
smerte,Schmerz,Danish,0,4.285714286
sne,Schnee,Danish,1,5
stim,Stimme,Frisian,1,6.666666667
stjärna,Stern,Swedish,1,5.714285714
stoarm,Sturm,Frisian,1,8.333333333
stol,Stuhl,Danish,0,6
straat,Strasse,Dutch,1,6.666666667
strävan,Streben,Swedish,0,5.714285714
stykke,Stück,Danish,1,5
succé,Erfolg (success),Swedish,0,8.333333333
sûkelade,Schokolade,Frisian,1,6
synd,Sünde,Danish,1,6
tält,Zelt,Swedish,1,5
tante,Tante,Dutch,1,10
tiisdei,Dienstag,Frisian,1,4.285714286
toegang,Zugang,Dutch,0,5.714285714
touw,Seil,Dutch,0,5
trein,Zug (train),Dutch,1,8
tryk,Druck,Danish,0,4
tunga,Zunge,Swedish,1,6
uitgave,Ausgabe,Dutch,1,4.285714286
undersökning,Untersuchung,Swedish,0,5.833333333
ungelok,Unglück,Frisian,1,5.714285714
universitet,Universität,Swedish,1,9.090909091
untwikkeling,Entwicklung,Frisian,0,6.666666667
utbildning,Ausbildung,Swedish,1,6
utland,Ausland,Swedish,1,7.142857143
útspraak,Aussprache,Frisian,1,5
väg,Weg,Swedish,1,3.333333333
vak,Fach,Dutch,0,2.5
verhoging,Erhöhung,Dutch,0,6.666666667
versie,Version,Dutch,1,7.142857143
vlag,Flagge,Dutch,1,7.5
vleugel,Flügel,Dutch,0,7.142857143
vluchteling,Flüchtling,Dutch,1,8.181818182
voorbereiding,Vorbereitung,Dutch,1,8.461538462
vrouw,Frau,Dutch,0,4
water,Wasser,Dutch,1,10
werk,Arbeit (work),Dutch,1,10
woartel,Wurzel,Frisian,0,5.714285714
wyn,Wein,Frisian,1,5
ynfloed,Einfluss,Frisian,0,3.75
zaak,Sache,Dutch,0,2
zaal,Saal,Dutch,0,7.5
